Region,HASC,FIPS,Population,Area(km),Area(mi),Capital
Ashanti,GH-AH,GH02,4780380,24390,9417,Kumasi
Brong-Ahafo,GH-BA,GH03,2310983,39557,15273,Sunyani
Central,GH-CP,GH04,2201863,9826,3794,Cape Coast
Eastern,GH-EP,GH05,2633154,19977,7713,Koforidua
Greater Accra,GH-AA,GH01,4010054,2593,1001,Accra
Northern,GH-NP,GH06,2479461,70383,27175,Tamale
Upper East,GH-UE,GH10,1046545,8842,3414,Bolgatanga
Upper West,GH-UW,GH11,702110,18477,7134,Wa
Volta,GH-TV,GH08,2118252,20572,7943,Ho
Western,GH-WP,GH09,2376021,23921,9236,Sekondi-Takoradi
